autobotdescmgr.1	戰鬥經驗值獎勵 {0}%
interface_skillhandler.6	因為武器的耐久度為 0, 無法使用 {0}{}.
interface_skillhandler.7	已經過了武器的使用期間,所以好像無法使用 {0}{}的樣子.
interface_skillhandler.8	在這裡無法使用.
interface_skillhandler.9	지금은 스킬을 사용할 수 없습니다.\n게임에 접속 중인 상태로, {0} 후에 다시 시도하세요.
interface_skillhandler.10	現在無法使用特性技術.{0}秒後再重新嘗試.
interface_skillhandlerparam.1	黑闇值不足, 無法使用技能.
interface_skillmgr.1	所有屬性已滿
interface_skillmgruse.1	此為無法操縱人偶的距離.\n人偶操縱術已解除.
interface_skillmgruse.2	因為武器的耐久度為 0, 無法使用 {0}{}.
interface_soulmate.1	只能在浪漫島內才可申請.
interface_soulmate.2	已跟別的人進行心靈伴侶中.
interface_soulmate.3	對方是別人的心靈伴侶.
interface_specialization.1	無法滿足條件.
interface_specialization.2	是尚未啟動的特性技術.
interface_standardapi.1	일반
interface_standardapi.2	브론즈
interface_standardapi.3	실버
interface_standardapi.4	골드
interface_standardapi.5	플래티넘
interface_standardapi_gamemonth.1	提高暴擊的發生機率.\t提高幸運一擊的機率.\t演奏成功率增加.\t提高暴擊的發生機率.\t提高幸運一擊的機率.\t演奏成功率增加.\t提高魔法音樂的成功率.\t提高用音樂魔法馴服的機率.
interface_standardapi_gamemonth.2	生產技能的成功率提高.\t生活系列技能的升級獎勵已增加.\t提高生產品的品質.
interface_standardapi_gamemonth.3	丟出相同的道具,也會變換地城形狀.\t提高地下城內出現較多道具數量的可能性.\t增加戰鬥相關技能等級提升獎勵.
interface_standardapi_gamemonth.4	提高從自然界或動物中獲得物品的機率\t在商店能以便宜的價格購買東西.\t銀行的手續費降低.\t增加完成技能的完全修煉時所獲得的經驗值.
interface_standardapi_gamemonth.5	提高魔力賦予的成功率.\t增加魔法相關技能等級提升獎勵.\t提高使用裝備取得的熟練度.
interface_standardapi_gamemonth.6	減少無法行動時的懲罰.\t提高所有藥水的效果.\t提高做完兼職時的報酬.
interface_standardapi_gamemonth.7	年齡增加獲得 AP.\t提高飲食的基本效果.\t提高探測器的效果.\t稍微動的動物也可以素描.
interface_standardapi_gamemonth.8	提高暴擊的發生機率.\n提高幸運一擊的機率.\n演奏成功率增加.\n提高魔法音樂的成功率.\n提高用音樂魔法馴服的機率.
interface_standardapi_gamemonth.9	生產技能的成功率提高.\n增加生活系列技能等級提升獎勵.\n提高生產品的品質.
interface_standardapi_gamemonth.10	丟出相同的道具,也會變換地城形狀.\t提高地下城內出現較多道具數量的可能性.\t增加戰鬥相關技能等級提升獎勵.
interface_standardapi_gamemonth.11	提高從自然界或動物中獲得物品的機率\n在商店能以便宜的價格購買東西.\n銀行的手續費降低.\n增加完成技能的完全修煉時所獲得的經驗值.
interface_standardapi_gamemonth.12	提高魔力賦予的成功率.\n增加魔法相關技能等級提升獎勵.\n提高使用裝備取得的熟練度.
interface_standardapi_gamemonth.13	減少無法行動時的懲罰.\n提高所有藥水的效果.\n提高做完兼職時的報酬.
interface_standardapi_gamemonth.14	年齡增加獲得 AP.\n提高飲食的基本效果.\n提高探測器的效果.\n稍微動的動物也可以素描.
interface_standardapi_gamemonth.15	나이를 먹고 성장에 따른 AP를 얻습니다.\t음식의 기본 효과가 높아집니다.
interface_standardapi_gamemonth.16	나이를 먹고 성장에 따른 AP를 얻습니다.\n음식의 기본 효과가 높아집니다.
interface_standardapi_gamemonth.17	{0}日 {1}時 {2}分{3}秒後 
interface_standardapi_gamemonth.18	{0}日 {1}時 {2}秒後 
interface_standardapi_gamemonth.19	{0}日 {1}分{2}秒後 
interface_standardapi_gamemonth.20	{0}日 {1}秒後 
interface_standardapi_gamemonth.21	{0}時 {1}分{2}秒後 
interface_standardapi_gamemonth.22	{0}時 {1}秒後 
interface_standardapi_gamemonth.23	{0}分{1}秒後 
interface_standardapi_gamemonth.24	{0}秒後 
interface_standardapi_gamemonth.25	{0}日 
interface_standardapi_gamemonth.26	{0}小時 
interface_standardapi_gamemonth.27	{0}分 
interface_standardapi_gamemonth.28	{0}秒 
interface_standardapi_gamemonth.29	未滿1分鐘 
interface_standardapi_util.1	目前無法使用.
interface_standardapi_util.2	進行新手教學中的角色無法使用.\n(初次重生後可以使用)
interface_standardapi_util.3	等級未滿20的角色無法使用.
interface_standardapi_util.4	搭乘飛行物上的話就無法使用.
interface_standardapi_util.5	戰鬥期間無法使用.
interface_standardapi_util.6	死亡期間無法使用.
interface_standardapi_util.7	貿易期間無法使用.
interface_standardapi_util.8	對戰期間無法使用.
interface_standardapi_util.9	使用技能期間無法使用.
interface_standardapi_util.10	飛行中無法使用.
interface_standardapi_util.11	騎士競技大賽期間無法使用.
interface_standardapi_util.12	服裝表演期間無法使用.
interface_standardapi_util.13	變身中無法使用.
interface_standardapi_util.14	半神化中無法使用.
interface_standardapi_util.15	招喚寵物或夥伴期間無法使用.
interface_standardapi_util.16	在此處無法使用.
interface_standardapi_util.18	單手劍
interface_standardapi_util.19	單手鈍器
interface_standardapi_util.20	單手斧
interface_standardapi_util.21	雙手劍
interface_standardapi_util.22	雙手鈍器
interface_standardapi_util.23	雙手斧
interface_standardapi_util.24	騎槍
interface_standardapi_util.25	擲矛器
interface_standardapi_util.26	弓
interface_standardapi_util.27	弩
interface_standardapi_util.28	魔杖
interface_standardapi_util.29	集魔杖
interface_standardapi_util.30	鋼瓶
interface_standardapi_util.31	拳套
interface_standardapi_util.32	手把
interface_standardapi_util.33	手裏劍
interface_standardapi_util.34	雙槍
interface_standardapi_util.35	鎖鏈鐮刃
interface_standardapi_util.36	塔座鋼瓶
interface_standardapi_util.37	\n<color=2><outlinecolor=3>(거래 및 경매장 이용이 가능해 질 때 까지 {0} 남았습니다.)</outlinecolor></color>
itemenhancedescmgr.1	改造為 {0} {1}類型 {2}階段.\n
itemenhancedescmgr.2	把 {0} {1}類型 {2}階段變換為 {3}類型 {4}階段.\n
itemenhancedescmgr.3	改造為 {0} {1} 階段.\n
itemoptiondeschelper.1	看起來變弱了一點點
itemoptiondeschelper.2	魔法傷害值
itemoptiondeschelper.3	冰風暴持續時間
itemoptiondeschelper.4	冰風暴範圍
itemoptiondeschelper.5	防護壁耐久度
itemoptiondeschelper.6	耐力消耗量
itemoptiondeschelper.7	銳利等級
itemoptiondeschelper.8	鍍鐵比率
itemoptiondeschelper.9	音樂效果技能效果
itemoptiondeschelper.10	音樂增益持續時間
itemoptiondeschelper.11	最小傷害值
itemoptiondeschelper.12	最大傷害值
itemoptiondeschelper.13	探險經驗值
itemoptiondeschelper.14	貿易背包
itemoptiondeschelper.15	貿易重量
itemoptiondeschelper.16	隊伍戰鬥經驗值
itemoptiondeschelper.17	寵物戰鬥經驗值
itemoptiondeschelper.18	吃下自己所設置的辦桌料理的所有角色的效果維持時間
itemoptiondeschelper.19	대장 제작 결과 최대 스탯 한계
itemoptiondeschelper.20	목공 제작 결과 최대 스탯 한계
itemoptiondeschelper.21	貿易物品購買折扣率
itemoptiondeschelper.22	信用度上升率
itemoptiondeschelper.23	商店販賣價
itemoptiondeschelper.24	時空歪曲冷卻時間無視次數
itemoptiondeschelper.25	發動衝擊相消時防禦
itemoptiondeschelper.26	發動衝擊相消時魔法防禦
itemoptiondeschelper.27	暴擊發動時連續技冷卻時間初始化機率
itemoptiondeschelper.28	連續技傷害
itemoptiondeschelper.29	人偶魔法保護
itemoptiondeschelper.30	芬恩同步大成功機率
itemoptiondeschelper.31	瑪奇魔法陣設計時,可以配置的圖形個數
itemoptiondeschelper.32	製作瑪奇魔法陣圖案的使用次數
itemoptiondeschelper.33	3大屬性精通傷害
itemoptiondeschelper.34	瞄準率矯正
itemoptionset.1	精靈
itemqualitymgr.1	才能獎勵 :
itemqualitymgr.2	一代宗師製作獎勵 : 
itemupgradedesc.1	(未發現)
mabiauctionmgr.1	販賣中
mabiauctionmgr.2	販賣成功
mabiauctionmgr.3	販賣失敗
mabiauctionmgr.4	競標中
mabiauctionmgr.5	需要再次競標
mabiauctionmgr.6	購買失敗
mabiauctionmgr.7	購買成功
mabinogi_commerce.1	貿易物品交易失敗. (0)
mabinogi_commerce.2	該貿易所的信用度不足.
mabinogi_commerce.3	杜卡特不足.
mabinogi_commerce.4	銷售價格變更.
mabinogi_commerce.5	貿易物品交易失敗. (1)
mabinogi_commerce.6	不是在該貿易所無法購買的貿易品.
mabinogi_commerce.7	沒有擁有充分的貿易品.
mabinogi_commerce.8	沒有充分的貿易品.
mabinogi_commerce.9	價格資訊更新. 請再次確認後進行貿易.
mabinogi_commerce.10	無法在該貿易所銷售.
mabinogi_commerce.11	無法交易.
mabinogi_commerce.12	沒有充足的重量空間.
mabinogi_commerce.13	沒有運送工具.
mabinogi_commerce.14	貿易物品交易失敗. (2)
mabinogi_commerce.15	貿易物品離貿易所太遙遠.
mabinogi_commerce.16	貿易物品交易失敗. (11)
mabinogi_commerce.17	位置不足.
mabinogi_commerce.18	無法正常讀取運送工具資訊.
mabinogi_commerce.19	向運送小幫手付出杜卡特\n就可以使用該運送工具.
mabinogi_commerce.20	該運送工具無法負荷\n目前貿易物品的重量.
mabinogi_commerce.21	該運送工具要乘載目前貿易部品\n位置不足.
mabinogi_commerce.22	貿易物品交易失敗. (12)
mabinogi_commerce.23	暫時無法使用貿易功能.
mabinogi_commerce.24	貿易物品交易失敗.(99)
mabinogi_commerce.25	交換品不足.
mabinogi_commerce.26	無法進行交換的貿易品.
mabinogi_commerce.27	目前的運輸工具只能於召喚貿易夥伴之下才能使用.\n請變更運輸工具.
mabinogi_commerce.28	目前運輸方式只能在召喚羊駝中使用.\n請變更運輸方式.
mabinogi_commerce.29	현재 운송수단을 사용 할 수 있는 파트너가 없습니다.\n운송수단을 변경하세요.
mabinogi_commerce.30	目前的運送工具只能在活動中使用.\n請變更運送工具.
mabinogi_etcconstants.1	簡單
mabinogi_etcconstants.2	普通
mabinogi_etcconstants.3	困難
mabinogi_fieldquest.1	已入場之任務區.
mabinogi_fieldquest.2	無法找到角色.請再試一次.
mabinogi_fieldquest.3	無效的位置.
mabinogi_fieldquest.4	無法找到任務區.
mabinogi_fieldquest.5	進入任務區失敗.
mabinogi_fieldquest.6	不可選擇.
mabinogi_gameword.1	毒免疫
mabinogi_gameword.2	石化免疫
mabinogi_gameword.3	減少魔法值消耗
