card_select.avail_basic	此角色可使用基本角色卡來創造
msg.character.inventory.no_equip_heavy_armor	穿著重盔甲時無法佩戴{0}
msg.character.inventory.no_equip_invalid_race	不符合能夠著裝的性別/種族.
msg.character.inventory.no_equip_light_armor	輕盔甲可以佩戴一個{0}
msg.character.inventory.weapon1_set	切換成一般裝備(I).
msg.character.inventory.weapon2_set	切換成輔助裝備(II).
msg.character.keyword.get	獲得新的關鍵字.
msg.character.party.cannot_join_already_has_party	已加入隊伍,無法參加其他隊伍.
msg.character.respawn.warning_dungeon	在地下城入口復活可以減少復活時的損失\n要想再回到這個地下城,需要往祭壇扔同樣的物品.
msg.character.respawn.warning_dungeon_item	如果在地下城入口復活,掉落在地面上的物品會向杜巴頓議會廳移動,找回時需要支付一定的費用.\n為了重新回到這個地下城入口.應該在祭壇掉落同樣的物品.\n如果地下城入口中沒有剩餘的人.地下城入口將重新創立.
msg.character.respawn.warning_dungeon_party	在地下城入口復活的話,可以以少許的處罰復活\n但會離隊伍隊伍較遠\n要想再回到地下城,必須往祭壇丟出相同的物品.
msg.character.respawn.warning_here	在原地復活的話比其他的方法消耗較多的經驗值.\n即使如此還是要在原地復活嗎?
msg.character.respawn.warning_nouseful_nao	目前為無需復活處罰的狀態\n所以即使在原地復活也不用消耗任何經驗值\n\n還是需要邀請娜歐來幫忙嗎?
msg.character.respawn.warning_town	在村莊裡復活的話雖然可以以較少的處罰復活\n但會離現在的位置較遠.
msg.character.respawn.warning_town_item	如果在村莊復活.掉落在地面上的物品會向議會廳移動.找回時需要支付一定的費用.\n可以嗎?
msg.character.respawn.warning_town_party	在村莊裡復活的話雖然可以以較少的處罰復活\n但會離隊伍隊伍較遠.
msg.character.skill.combatmastery.on_levelup_possible_0	結束戰術精通技能的練習.\n想正式獲得技能.打開技能欄.按GET鍵.
msg.character.skill.on_add	Skill Understood.\n瞭解了{0}技能的使用方法!
msg.character.skill.on_gain_exp	{0}技能{1}
msg.character.skill.on_gain_exp_0	{0}技能{1}(練習)
msg.character.skill.on_levelup_1	可以正式使用{0}技能.
msg.character.skill.on_levelup_possible	Skill Qualified.\n可以進行{0}技能升級.
msg.character.skill.on_levelup_possible_0	Skill Qualified.\n可以進行{0}技能升級.
msg.character.skill.on_levelup_possible_0_0	Practice Completed.\n{0}技能練習結束!
msg.character.skill.on_perfect_train	{0} {1} 技能修煉完成.
msg.character.skill.perfect_train_title	Perfect Skill Training
msg.chat.name_copied	複製名稱.
msg.enchant.blessportion_exist	祝福的藥水已經在上面了.
msg.enchant.sunlightherb_exist	日光藥草已經在上面了.
msg.etc.are_you_sure_must_fail	成功機率為0%.還要繼續進行嗎?
msg.etc.cannot_chat_banned_word	您輸入的文字中包括不允許使用的單字.
msg.etc.cannot_read_when_sitdown	在坐著的狀態下無法仔細閱讀.
msg.etc.cutscene_close_confirm	您真的要結束畫面嗎?
msg.etc.cutscene_close_confirm2	請問真的要結束影像畫面嗎?
msg.etc.error_character_data	角色資料不完整\n請五分鐘後再重試一次\n如果問題持續發生的話.請到網頁的bug回報公佈欄裡留言.
msg.etc.hide_mode_msg	隱藏所有視窗(解除 \\)
msg.etc.hide_party_mode_msg	隱藏隊伍視窗(解除 ctrl+p)
msg.etc.hide_user_name	名稱隱藏狀態(解除 ctrl+n)
msg.etc.logout_penalty_exit	現在退出遊戲將損失{0}exp和{1}金幣.\n{2}以後可以安全退出遊戲.
msg.etc.logout_penalty_logout	現在登出的話將損失{0}exp和{1}金幣.\n{2}以後可以安全登出.
msg.etc.need_essentials	需要準備的東西全部就緒
msg.etc.need_essentials_2	需要準備的東西全部就緒
msg.etc.no_channelmove_combat	戰鬥中不能移動分流.
msg.etc.no_channelmove_event	任務中不能移動分流.
msg.etc.no_channelmove_npctalk	和NPC對話中不能移動分流.
msg.etc.no_connect_timeout	超過遊戲限制時間.無法連接遊戲.
msg.etc.no_exit_combat	戰鬥中無法退出遊戲.
msg.etc.no_exit_event	活動中無法退出遊戲.
msg.etc.no_exit_npctalk	與NPC對話中無法退出遊戲.
msg.etc.no_exit_trade	交易完成後1分鐘內無法退出遊戲.\n{0}秒後可以退出遊戲.
msg.etc.no_license_item	必須擁有可使用的許可證.
msg.etc.no_logout_combat	戰鬥中無法登出.
msg.etc.no_logout_event	活動中無法登出.
msg.etc.no_logout_npctalk	與npc對話中無法登出
msg.etc.no_logout_trade	交易完成後一分鐘內無法登出\n{0}秒後可以登出
msg.etc.no_proper_item	沒有適當的物品.
msg.etc.on_auto_camera_msg	把視角盡可能保持在向北的方向.\n可以較容易的辨認方向.根據自己的影子估計時間.
msg.etc.on_auto_camera_title	Auto Controlled View\n自動視角
msg.etc.on_user_camera_msg	手動控制界面視角.
msg.etc.on_user_camera_title	User Controlled View\n使用者視角
msg.etc.set_skill_group_msg	設定{0}技能欄快捷鍵.
msg.etc.title.logout_penalty_combat	退出戰鬥
msg.etc.title.logout_penalty_dungeon	退出地下城
msg.etc.title.logout_penalty_trade	交易
msg.foodtooltip_quality	<bold>品質 : </bold>
msg.foodtooltip_whose	{0} 料理師 {1}的作品
msg.gift.notice	新的禮物送達.
msg.gift.receive_desc	收到{0}的禮物.
msg.gift.reject_desc	退還禮物了.
msg.gift.reject_fail_desc	退還禮物失敗. \n請稍後再試.
msg.gold_deal.not_enough_money	預算不足無法支付手續費.
msg.guardcat_quit	發現嘗試不正常執行client的意圖,因而終止client .
msg.guardcat_quit1	發現嘗試不正常執行client的意圖,因而終止client.\n錯誤編號 : {0}({1})
msg.guardcat_quit_title	Warning\n警告
msg.hide_personalshop_title	{0} (以ctrl-P隱藏)
msg.inventory_title	{0}'s Inventory\n{0}的擁有物
msg.item_weapontype_attack	攻擊 <color=2>{0}</color><color=5>({1})~<color=2>{2}</color><color=5>({3})
msg.item_weapontype_attack2	攻擊 <color=2>{0}</color><color=5>({1})~{2}
msg.item_weapontype_attack3	攻擊 {0}~<color=2>{1}</color><color=5>({2})
msg.item_weapontype_attack4	攻擊 {0}~{1}
msg.item_weapontype_balance	平衡性 <color=2>{0}</color><color=5>({1})%
msg.item_weapontype_balance2	平衡性 {0}%
msg.item_weapontype_critical	暴擊<color=2>{0}</color><color=5>({1})%
msg.item_weapontype_critical2	暴擊{0}%
msg.item_weapontype_wattack	負傷率 <color=2>{0}</color><color=5>({1})~<color=2>{2}</color><color=5>({3})%
msg.item_weapontype_wattack2	負傷率 <color=2>{0}</color><color=5>({1})~{2}%
msg.item_weapontype_wattack3	負傷率 {0}~<color=2>{1}</color><color=5>({2})%
msg.item_weapontype_wattack4	負傷率 {0}~{1}%
msg.load_by_check	用支票發放
msg.load_by_check_tooltip	上述金額用一張支票獲得.\n支付支票時支付5%的費用.但是\n支票入帳時沒有費用.
msg.load_check_fee_insuff	銀行餘額不足.無法支付費用.
msg.minimap.tooltip1	在地圖按目的地就會自動移動.
msg.minimap.tooltip2	跟鍵盤左邊的shift一起按的話,就可以設定目的地.\n要取消目的地的話再按地圖.
msg.notify_close_after_buy_title	Notify\n告知
msg.party.no_party_member	沒有可請求魔力賦予的組隊成員.
msg.party.not_has_party	魔力賦予的委託只可向組隊成員,請先加入組隊.
msg.party.not_party_member	沒有選擇組隊成員.
msg.pet.remain_time	剩餘召喚時間 : {0}分
msg.ps_customer.cannotopen_nobag	沒有個人商店用包,不能開設個人商店.
msg.ps_customer.cannotopen_notpayed	因未使用倉儲空間服務功能而不能開設個人商店.
msg.ps_customer.cannotsell_fordungeon	地下城用物品不能設定價格.
msg.ps_customer.cannotsell_money	不能設定錢幣的價格.
msg.ps_customer.cannotsell_untradable	不能交易的物品不可設定價格.
msg.ps_shop.title_length	個人商店的名稱需要英文4字以上.
msg.ps_shop.title_tooltip	{0} (以ctrl-P隱藏)
msg.ps_shop.unable_pet	寵物無法開啟個人商店.
msg.remote_shop.exit	交易完成
msg.sms.alert	{0} 伺服器的\n<color=2>{1}</color> \n寄短訊\n給您了.
msg.sms.send_fail.blocked	無法傳送短訊給他.
msg.sms.send_fail.no_char	傳送短訊失敗.\n找不到這個角色名字.
msg.sms.send_success	傳送短訊成功.
msg.tailoring.sewing_process_1	開始按在Start.到End放下
msg.tailoring.sewing_process_2	移動到End後.放開滑鼠鍵
msg.toturial.tutorial_exit_desc	真的要結束新手教學嗎?
msg.tutorial_movie.codec_not_found	找不到放映動畫的檔案
msg.tutorial_movie.file_not_found	在該連結點找不到動畫檔案
msg.tutorial_movie.unexpected_error	在動畫放映中,發生不可預知的問題
msg.tutorial_movie.unknown_file_type	這不是正常的動畫檔案.
msg.upgrade_item_personaluse_1	{0}改造為專用
msg.upgrade_item_personaluse_2	改造為專用
msg.vehicle.kick	請問真的要讓對方離開坐騎嗎?
msg.warning_collection_book_insert	您要將{0}放入 "{1}"嗎?\n{0}將會消失並無法再回收.
msg.web.browser_main_title	mabinogi
msg.web.notify_close_after_buy	為了進行遊戲.完成購買之後.\n請設定網頁.
msg.web.open_title	Opening Mabinogi Homepage...\n向Mabinogi官方網頁移動.
msg.web.warning_failed_before	若沒有連接至mabinogi官方網頁了解相關遊戲資訊與硬體要求後,或是無法進入遊戲中正常進行時\n.若沒有解決電腦系統低配置問題以及是音效卡或記憶體等問題....\n可能還會再發生無法正常進行遊戲的同樣的問題.\n\n要繼續嗎?
new_character.avail_basic	可使用基本角色卡創立
new_character.avail_premium	需要優質角色卡
pli_10thanniversarykorearouletteview.1	贈品輪盤代幣不足.
pli_10thopenboxrewardview.1	해당 아이템이 존재하지 않습니다.\n아이템 샵 웹페이지로 이동하겠습니까?
pli_10thopenboxrewardview.2	가챠폰 보상 인벤토리를 정리하고 다시 시도해주세요.
pli_10thopenboxrewardview.3	가챠폰 보상 인벤토리를 정리하고 다시 시도해주세요.
pli_2014newyearrouletteview.1	需要算命錢 2個.
pli_additionalequipmentpocketview.1	단축키 슬롯에 등록 후 적용할 수 있습니다.
pli_additionalequipmentpocketview.2	아이템 설정이 적용되었습니다.
pli_additionalequipsystemview.1	需購買額外裝備欄位使用券.
pli_additionalequipsystemview.2	{0}號
pli_advertisebrochureview.0	移動到販賣者的房屋
pli_advertisebrochureview.1	關閉
pli_advertisebrochureview.2	{0} 金幣
pli_advertisebrochureview.3	Advertising Brochure\n房屋商店廣告
pli_advertisebrochureview.4	{0}的商店
pli_advertisebrochureview.5	在飛行中無法使用.
pli_advertisemanageview.0	製作廣告
pli_advertisemanageview.1	增加廣告
pli_advertisemanageview.2	收到廣告
pli_advertisemanageview.3	取消廣告
pli_advertisemanageview.4	關閉
pli_advertisemanageview.5	Advertise Management\n廣告管理
pli_advertisemanageview.6	現在所剩下的廣告數量 :
pli_advertisemanageview.7	發行的廣告數量 :
pli_advertisemanageview.8	< 現在不是廣告中 >\n想要發行廣告的話,請製作廣告. 廣告每張是{0}個金幣.\n在房屋內販賣的物品,會公佈到各村莊的房屋商店廣告板上.\n廣告會在現實時間的24小時之後到期.
pli_advertisemanageview.9	< 現在廣告中 >\n可以增加廣告的發行.廣告每張是{0}個金幣.\n如果不想要廣告的話,可以取消.\n此廣告的有效期限是 {1}月{2}日 {3}點{4}分.
pli_advertisemanageview.10	廣告一次可發行的數量最少1個,最大到100個為止.
pli_advertisemanageview.11	請問真的要取消廣告嗎?\n沒有辦法歸還發行廣告的錢喔.
pli_advertisemanageview.12	廣告文案 :
pli_advertisemanageview.13	< 目前非廣告中 >\n欲開始廣告的話請點擊製作廣告. 廣告費為 {0} 金幣.\n在家裡販售中的道具會被刊登在各村莊的佈告欄上.\n廣告會在現實時間24小時過後到期.
pli_advertisemanageview.14	< 目前正在廣告中 >\n若不想再進行廣告的話可以取消.\n此廣告的自動到期時間為 {0}月{1}日 {2}時{3}分. 
pli_aesystemtabnameinputview.1	只可輸入中文 1~3字或英文 2~6字.
pli_agreementview.1	약관
pli_agreementview.2	약관을 로딩하지 못했습니다.\n윈도의 방화벽 설정을 확인해주시기 바랍니다.
pli_agreementview.3	마비노기 이용약관
pli_agreementview.4	아래의 이용약관에 동의하신 후에 마비노기 이용이 가능합니다.
pli_agreementview.5	약관을 로딩중입니다.
pli_agreementview.6	동의합니다
pli_agreementview.7	동의하지 않습니다
pli_agreementview.8	關閉
pli_aieditgeneralframe.1	而且
pli_aieditgeneralframe.2	而且
pli_aieditgeneralframe.3	新規則
pli_aieditgeneralframe.4	增加新的規則.
pli_aieditgeneralframe.5	編輯
pli_aieditgeneralframe.6	編輯所選規則.
pli_aieditgeneralframe.7	刪除
pli_aieditgeneralframe.8	刪除所選規則.
pli_aieditgeneralframe.9	上移所選規則.
pli_aieditgeneralframe.10	下移所選規則.
pli_aieditgeneralframe.11	沒有解除規則.
pli_aieditgeneralframe.12	無法找到規則.
pli_aieditgeneralframe.13	活動的名稱還未定義,\n無法編輯.
pli_aieditsourceframe.1	粘貼
pli_aieditsourceframe.2	從剪貼簿貼上
pli_aieditsourceframe.3	複製
pli_aieditsourceframe.4	複製到剪貼簿
pli_aieditsourceframe.5	剪貼簿已空
pli_aieditsourceframe.6	無法處理的形式.
pli_aieditsourceframe.7	AI生成失敗.
pli_aieditview.1	名稱中不能使用以下字元.\n\\ / : * ? < > | "
pli_aieditview.2	名稱不可全部由空格組成.
pli_aieditview.3	寵物角色 AI 編輯器
pli_aieditview.4	AI名稱
pli_aieditview.5	輸入AI的名稱.
pli_aieditview.6	編輯
pli_aieditview.7	顯示原始資料
pli_aieditview.8	確定
pli_aieditview.9	應用變更事項.
pli_aieditview.10	取消
pli_aieditview.11	取消變更事項.
pli_aieditview.12	已登記的名稱.
pli_aieditview.13	AI名稱不存在.
pli_aieditview.14	AI名稱不存在.\n
pli_aieditview.15	已登記的名稱.
pli_aieditview.16	增加AI失敗.
pli_aieditview.17	AI 編輯
pli_airballooncontrollerview.1	駕駛
pli_airballooncontrollerview.2	升高熱氣球的高度.\n離紅色區域越近,上升速度就越快.
pli_airballooncontrollerview.3	降低熱氣球的高度.\n離藍色區域越近下降速度就越快.
pli_airballooncontrollerview.4	起飛
pli_airballooncontrollerview.5	嘗試起飛.
pli_airballooncontrollerview.6	著陸
pli_airballooncontrollerview.7	嘗試著陸.\n只有高度在40m 以下允許著陸的地方,才可以著陸.
pli_airballooncontrollerview.8	關閉
pli_airballooncontrollerview.9	駕駛結束.
pli_airballoondefenseminigamelifegaugemgr.1	寶藏獵人的熱氣球
pli_airulewizardcommandframe.1	未選擇
pli_airulewizardcommandframe.2	刪除命令失敗.
pli_airulewizardcommandframe.3	none
pli_airulewizardconditionframe.1	未選擇
pli_airulewizardconditionframe.2	刪除條件失敗.
pli_airulewizardconditionframe.3	none
pli_airulewizardeditframe.1	而且
pli_airulewizardeditframe.2	而且
pli_airulewizardhelpframe.1	沒有幫助.
pli_airulewizardhelpframe.2	沒有幫助.
pli_airulewizardview.1	AI規則嚮導
pli_airulewizardview.2	規則名稱
pli_airulewizardview.3	編輯規則
pli_airulewizardview.4	取消
pli_airulewizardview.5	< 上一步
pli_airulewizardview.6	下一步 >
pli_airulewizardview.7	結束
pli_airulewizardview.8	發生什麼事件時執行規則?\n第1階段: 選擇活動
pli_airulewizardview.9	確定使用什麼條件?\n第2階段: 選擇條件
pli_airulewizardview.10	使用何種行動?\n第3階段: 選擇行動
pli_airulewizardview.11	名稱不可全部由空格組成.
pli_airulewizardview.12	名稱中不能使用以下字元.\n\\ / : * ? < > | "
pli_airulewizardview.13	已存在相同名稱的規則.
pli_airulewizardview.14	增加規則失敗.
pli_airulewizardview.15	沒有規則名稱.
pli_alltalentselectview.1	新角色無法選擇的修練才能.\n重生後才可選擇.
pli_alltalentselectview.2	沒完成G1的角色是無法選擇的修練才能.
pli_alltalentselectview.3	為了新瑪奇新手的才能
pli_alltalentselectview.4	用堅固的基礎可進行強大的戰鬥,跟別的才能比較之下可用容易的操作可進行穩定的遊戲
pli_alltalentselectview.5	為了戰鬥修練者的才能
pli_alltalentselectview.6	按照各種的狀況可進行適當戰鬥的才能,可把戰鬥更有效率的進行遊戲
pli_alltalentselectview.7	為了生活修練者的才能
pli_alltalentselectview.8	可讓採集和製作,生產,貿易等戰鬥之外的各種生產活動用更有效率的進行遊戲
pli_alltalentselectview.9	為了新瑪奇修練者的才能
pli_alltalentselectview.10	為了戰鬥和生活熟悉的修練者的才能,可進行多種的遊戲.
pli_alltalentselectview.11	{0}{은} 재능 변경권을 사용해서 변경할 수 있습니다.
pli_alltalentselectview.12	此為首次重生時無法選擇的修練才能.\n下次重生後可選擇.
pli_alltalentselectview.13	專為新瑪奇新手和經驗者所有人所推薦的才能
pli_alltalentselectview.14	透過比起其它的才能相較簡單的操作,可以安穩的遊戲,可以體驗新瑪奇的各式趣味.
pli_anniversarycoupon.1	마비노기 5주년 기념 행운권
pli_anniversarycoupon.2	關閉
pli_anniversarycoupon.3	행운권 교환
pli_answermatchquestionminigameview.1	
pli_answermatchquestionminigameview.2	成功!
pli_answermatchquestionminigameview.3	失敗..
pli_answermatchquestionminigameview.4	我的回答
pli_answermatchquestionminigameview.5	限制時間超過
pli_answermatchquestionminigameview.6	對方的回覆
pli_answermatchquestionminigameview.7	限制時間超過
pli_answermatchquestionminigameview.8	
pli_answermatchquestionminigameview.9	솔로는 지옥으로 갑니다.
pli_answermatchquestionminigameview.10	중간 결과
pli_answermatchquestionminigameview.11	커플 수
pli_answermatchquestionminigameview.12	{0} 쌍
pli_answermatchquestionminigameview.13	솔로 수
pli_answermatchquestionminigameview.14	{0} 명
pli_answermatchquestionminigameview.15	
pli_apfixeditemselectview.1	在以下物品中可選擇一個.\n請選擇一個物品.
pli_apfixeditemselectview.2	可以獲取下列所有道具.\n現在要領取嗎?
pli_apitemconfirmview.1	{0} {1}個
pli_apitemconfirmview.2	以今天的特殊禮物服務\n<color=2>[{0}]</color>要接受嗎?\n以實際時間一天可接受一個,\n選擇物品後是無法挽回
pli_apitemconfirmview.3	以今天的特殊禮物服務\n<color=2>[{0}]</color>要接受嗎?\n以實際時間一天可接受一個,\n選擇物品後是無法挽回
pli_apitemnoticeview.1	特殊禮物服務告知
pli_apitemnoticeview.2	獲得特殊禮務服務道具.\n現在要領取嗎?
pli_apitemrandomconfirmview.1	將這盒子內的物品要以今天的 特殊禮物服務來接受嗎?\n實際時間一天可接受一個,\n打開的盒子是無法挽回的.
pli_apitemselectview.1	{0} {1}個
pli_apitemselectview.2	今天({0})指定的服務物品是\n<color=2>[{1}]</color> .\n\n你要接受指定的服務物品嗎,\n 還是要以抽籤的方式來選擇其它物品?
pli_apitemselectview.3	今天是{0}\r\n可選擇接受指定的服務物品\r\n或從抽籤物品中接受一個.
pli_appearancechangeframe.1	皮膚顏色變更
pli_appearancechangeframe.2	頭髮染色
pli_appearancechangeframe.3	眼睛染色手術
pli_appearancechangeframe.4	推薦頭髮
pli_appearancechangeframe.5	頭髮
pli_appearancechangeframe.6	頭髮顏色
pli_appearancechangeframe.7	推薦眼睛
pli_appearancechangeframe.8	眼睛
pli_appearancechangeframe.9	眼睛顏色
pli_appearancechangeframe.10	推薦嘴巴
pli_appearancechangeframe.11	嘴巴
pli_appearancechangeframe.12	膚色
pli_appearancechangeframe.13	{0}著裝時無法選擇皮膚顏色.
pli_appearancechangeframe.14	取消
pli_appearancechangeframe.15	推薦臉
pli_appearancechangeframe.16	臉
pli_appearancechangeframe.17	膚色
pli_appearancechangeframe.18	推薦嘴
pli_appearancechangeframe.19	嘴
pli_appearancechangeframe.20	右邊
pli_appearancechangeframe.21	左邊
pli_apskilltrainview.1	目前未知的修練方法
pli_apskilltrainview.2	再也無法修練.
pli_apskilltrainview.3	請選擇欲修練的項目.
pli_apskilltrainview.4	與NPC對話途中無法使用.
pli_auctioninventoryview.1	拍賣物品
pli_auctioninventoryview.2	同意
pli_auctioninventoryview.3	取消
pli_auctioninventoryview.4	拍賣
pli_auctionview.1	物品競標
pli_auctionview.2	預覽
pli_auctionview.3	競標
pli_auctionview.4	關閉
pli_auctionview.5	我的銀行存款 : {0} Gold
pli_auctionview.6	最高競標價 : {0} Gold
pli_auctionview.7	無
pli_auctionview.8	競標者 : {0}
pli_auctionview.9	剩餘時間 :
pli_auctionview.10	{0}秒
pli_auctionview.11	物品競標
pli_auctionview.12	金額
pli_auctionview.13	自動競標
pli_auctionview.14	確認
pli_auctionview.15	關閉
pli_auctionview.16	我的銀行存款 : {0} Gold
pli_auctionview.17	最高競標價 : {0} Gold
