animaltraininguse.1	訓練杖已無法使用.
carpentryuse.16	竟然製作出這麼草率的 {0}.\n就算賣給店家, 也會被嫌棄.
carpentryuse.17	製作{0}成功
carpentryuse.18	製作失敗
carpentryuse.19	{0} 專用生產品.
carpentryuse.20	{0} 專用生產品.
chainburstuse.1	已發動黑闇解放效果中.
chaingunuse.1	無法使用已過期的武器.
chainspinningslashuse.1	沒有攻擊對象.
chargingfistuse.1	目前無法使用技能. {0}秒之後再試試看.
cloakinguse.1	在使用技能或是動作中,不能使用.
cloakinguse.2	魔法值不足.
cloakinguse.3	戰鬥中不能使用.\n請在{0}秒後再試一次.
cloakinguse.4	在交易或是和NPC對話中,不能使用.
cloakinguse.5	魔法值不足,不能夠再隱藏模樣了.
cloakinguse.6	在參加搶旗活動中無法使用.
cloakinguse.7	參加去海邊吧活動中不能使用.
cloakinguse.8	騎士競技大賽時無法使用.
cloakinguse.9	現在 {0}{} 無法使用.
closer.1	好像太靠近對方的樣子.
closer.2	距離對方好像太遠的樣子.
clothaction.1	獲得服裝動作.
clothactionuse.1	穿上動作服裝才可使用.
clothactionuse.2	穿上動作服裝才可使用.
cloudmakinguse.1	需要鋼瓶.
cloudmakinguse.2	目前無法使用技能.請過{0}秒後再試.
cloudmakinguse.3	無法使用技能的區域
cloudmakinguse.4	雲的結晶不足
cloudmakinguse.5	因雲的結晶不足無法使用技能
collectinguse.1	用此瓶好像無法進行採集.
collectinguse.2	{0}成功採集蘑菇.
collectinguse.3	木筏在搖晃, 無法採集.
collectinguse.4	熱氣球在搖晃, 無法採集.
collectinguse.5	距離太遠無法採集.
collectinguse.6	今天無法再這羊身上採集到羊毛了.
collectinguse.7	無法再從這隻動物上進行採集.
collectinguse.8	無法再從這隻動物上進行採集.
conditionsupportuse.1	{0} 狀態無法支援.
conditionsupportuse.2	再繼續隱身似乎沒有意義.
conditionsupportuse.3	隱身的耐性似乎更多了.
conditionsupportuse.4	[邊境之痕]不足無法使用特性.
conditionsupportuse.5	向[{0}]獲得了{1}狀態支援.
conditionsupportuse.6	向[{0}]支援了{1}狀態.
conditionsupportuse.7	向[{0}]{1} 套用了{1}狀態.
conditionsupportuse.8	向[{0}]獲得了特別組合的 {1} 狀態支援.
conditionsupportuse.9	向[{0}]支援了特別組合的 {1} 狀態.
conditionsupportuse.10	向[{0}]套用了特別組合的 {1} 狀態.
conditionsupportuse.11	{0}秒後,可以支援隱身狀態
confusionuse.1	已被眩惑了!
cookinguse.1	已過期.
cookinguse.2	已過期.
cookinguse.3	料理材料的保存期限已過.
cookinguse.4	只能在料理大會會場內使用的材料.
cookinguse.5	只能在料理大會中使用的材料.
cookinguse.6	只有料理大會的參加者才能使用料理大會用材料.
cookinguse.7	只有料理大會的參加者才能使用料理大會用材料.
cookinguse.8	可以享有天國之味的料理完成!
cookinguse.9	看似非常美味的料理完成!
cookinguse.10	看似有夠味的料理完成.
cookinguse.11	料理完成.
cookinguse.12	擔心味道的料理完成.
counterattackuse.1	裝備騎槍時無法使用該當技能.
crossbusteruse.1	現在好像不能使用.
crossbusteruse.2	目前無法使用技能. {0}秒之後再次使用.
cruelslashuse.1	首先要選擇對象.
cruelslashuse.2	是無法攻擊的對象.
cruelslashuse.3	只能向倒下的敵人使用.
cruelslashuse.4	此對象無法攻擊.
cruelslashuse.5	對象距離太遠.
cruelslashuse.6	首先要選擇對象.
crystalmakinguse.1	若要製造結晶需要有濕式火盆.
crystalmakinguse.2	若要製造結晶,附近必須有濕式火盆.
crystalmakinguse.3	必須具備相關技能才能製造結晶.
crystalmakinguse.4	製造{0}成功.
crystalmakinguse.5	製造{0}失敗.
crystalmakinguse.6	{0} 專用生產品.
cylinderexplosionuse.1	壓力不足.
cylinderexplosionuse.2	需要火的結晶 5個.
cylinderexplosionuse.3	鋼瓶的壓力不足, 高壓火爆技能被取消了.
cylinderexplosionuse.4	壓力不足.
cylinderexplosionuse.5	需要火的結晶 5個.
darkknighttransformuse.1	이벤트 아레나에서는 변신을 해제할수 없습니다
darkstorm.1	提升{0} 技能等級獲得了獎勵修煉值.
darkstorm.2	因{0} 技能修煉值不足等級下降了.
darkstorm.3	因{0} 技能修煉值不足若連續使用等級將會下降.
darkstormuse.1	目前無法使用技能.請過{0}秒後再試.
darkstormuse.2	{0} 因技能修煉值不足無法使用.
dashpunchuse.1	目前無法使用技能. {0}秒之後再試試看.
deathofshadowuse.1	給你錫古的力量.\n喚醒在暗影石沉睡的\n黑暗之靈...
deathofshadowuse.2	米列希安, \n利用帕爾赫德的力量\n為弗魔族偉大的力量開啟覺醒之眼.
deathofshadowuse.3	時間已到.\n將釋放弗魔族的黑暗.
defenceuse.1	裝備騎槍時無法使用該當技能.
demigodravenattack.1	提升{0} 技能的等級獲得了優惠修煉值.
demigodravenattack.2	{0} 技能的修煉值不足而等級下降.
demigodravenattack.3	{0} 技能的修煉值不足而連續使用時等級會下降.
demigodravenattackuse.1	目前無法使用技能. 請在{0}秒後再次使用.
demigodravenattackuse.2	{0} 技能的修煉值不足而無法使用.
demigodravenattackuse.3	附近沒有目標時無法使用
demigodshieldofgodnessuse.1	{0} 無法使用技能的狀態.
demigodshieldofgodnessuse.2	目前無法使用技能. 請在{0}秒後再次使用.
demigodspearofgod.1	{0} 升級技能來獲得獎勵修煉值.
demigodspearofgod.2	{0} 因技能修煉值不足等級下降了.
demigodspearofgod.3	{0} 因技能修煉值不足如果連續使用等級有可能會下降.
demigodspearofgoduse.1	目前無法使用技能.請過{0}秒後再試.
demigodspearofgoduse.2	{0} 因技能修煉值不足無法使用.
demigodspearofgoduse.3	附近沒有目標時無法使用
demigodspearofgoduse.4	消耗布里歐納克的力量使矛的力量極大化.
demigodspiritofshadowuse.1	靈魂已經出竅了.
demigodspiritofshadowuse.2	無法吸收靈魂.
demigodspiritofshadowuse.3	沒有吸收的靈魂.
demigodspiritofshadowuse.4	沒有目標無法使用.
demigodspiritofshadowuse.5	沒有目標無法使用.
demigodspiritofshadowuse.6	靈魂完全吸收了.
demigodspiritofshadowuse.7	沒有吸收的靈魂.
demigodspiritofshadowuse.8	靈魂已經出竅了.
demigodspiritofshadowuse.9	無法吸收靈魂.
demigodspiritofshadowuse.10	沒有吸收的靈魂.
demigodspiritofshadowuse.11	沒有找到可以攻擊的對象.
demigodtransform.1	{0} 升級技能來獲得獎勵修煉值.
demigodtransform.2	{0} 因技能修煉值不足等級下降了.
demigodtransform.3	{0} 因技能修煉值不足如果連續使用等級有可能會下降.
demigodtransformuse.1	{0} 因技能修煉值不足無法使用.
demigodtransformuse.2	現在不是可以半神化的狀態.
dicethrowinguse.1	骰子應放在右手上.
dicethrowinguse.2	找不到骰子.
dicethrowinguse.3	骰子應放在右手上.
dicethrowinguse.4	找不到骰子.
dischargeuse.1	要使用技能需要電的結晶.
dischargeuse.2	無法使用的對象.
dischargeuse.3	無法使用火花. 請過{1}分後再次使用.
dischargeuse.4	無法使用火花. 請過{1}秒後再次使用.
dischargeuse.5	無法使用火花. 請過{1}分後再次使用.
dissolutionuse.1	如要分解,附近需要有乾式火盆.
dissolutionuse.2	如要分解,附近需要有乾式火盆.
dissolutionuse.3	如要分解,附近需要有乾式火盆.
dissolutionuse.4	雙手閒置,可以進行分解.
dissolutionuse.5	{0} 分解成功 \n
dissolutionuse.6	{0} {1}個 \n
dissolutionuse.7	獲得{0} {1}個.
dissolutionuse.8	{0} 分解失敗.
dissolutionuse.9	道具錯誤.
divinelinkuse.1	沒有可使用技能的對象.
divinelinkuse.2	對象距離太遠.
divinelinkuse.3	靈魂連接10秒後會被解除.
divinelinkuse.4	在整體的狀態下無法使用該技能.
divinelinkuse.5	寵物正在守護個人商店, 因此無法使用該技能.
divinelinkuse.6	펫 레벨 : {0} \n디바인 링크 펫 스탯 증가 요청량 : 방어{1}, 보호{2}, \n서브스킬 추가 증가량 : 방어{3}, 보호{4}
dorchaconversionuse.1	生命力不足, 無法使用效果.
dorchaconversionuse.2	無法再獲得黑闇值.
dorchasnatchuse.1	沒有確定對象.
dragonfearruse.1	巨龍的咆哮, 使得忠誠的寵物也不禁發抖
dragonpetbreathfireuse.1	目前無法使用技能.請過{0}秒後再試.
dragonpetbreathiceuse.1	目前無法使用技能. {0}秒後再次進行.
dragonpetbreathstoneuse.1	目前無法使用技能. {0}秒之後再試試看.
dragonpetbreaththunderuse.1	目前無法使用技能.請過{0}秒後再試.
dragonpetdevilcryuse.1	目前無法使用技能. {0}秒之後再試試看.
dragonpetdevilcryuse.2	惡魔消滅技能使用失敗.
dragonpetdevilcryuse.3	惡魔消滅技能使用失敗.
dragonthunderuse.1	天氣似乎因不明力量而變得陰霾.
drawingartistuse.1	線描畫
drawingartistuse.2	鮮明的線描畫
drawingartistuse.3	溫柔的點描畫
dressshapeshift.1	獲得服裝動作2技能
dressshapeshiftuse.1	想要使用相關技能，必須穿上有服裝動作第2 技能的服裝才可以 
dressshapeshiftuse.2	想要使用相關技能，必須穿上有服裝動作第2 技能的服裝才可以 
dressshapeshiftuse.3	想要使用相關技能，必須穿上有服裝動作第2 技能的服裝才可以 
dropkickuse.1	目前無法使用技能. {0}秒之後再試試看.
dropkickuse.2	必須要先鎖定對象.
dualgunattackuse.1	必須要先鎖定對象.
dualgunattackuse.2	必須要先鎖定對象.
egobluntspecialattackuse.1	此武器已無法再使用.
egocylinderspecialattackuse.1	此鋼瓶無法再使用.
egoswordspecialattackuse.1	此武器已無法再使用.
egowandspecialattackuse.1	此魔杖已無法再使用.
elementaluse.1	已強化的狀態
elementaluse.2	跟鋼瓶和盾牌鋼瓶一起套用才可
elementaluse.3	所有屬性還沒滿
elfmagicmissile.1	최종 데미지: %f, 활 데미지: %f, 마법 데미지: %f, 유지 시간 팩터: %f, 추가 속성 효과: %f
elfmagicmissile.2	最後傷害: {0}, 弓箭傷害: {1}, 魔法傷害: {2}, 維持時間因數: {3}, 追加屬性效果: {4}
elfmagicmissileuse.1	好像一定要裝備弓或魔杖.
elfmagicmissileuse.2	這個魔杖好像無法施展技能.
elfmagicmissileuse.3	這個魔杖好像無法施展技能.
elfmagicmissileuse.4	時間已過,技能已取消.
elfmagicmissileuse.5	엘븐 미사일 범위: 파이어(%1.f) 아이스 (%1.f) 라이트닝(%1.f)
elfmagicmissileuse.6	魔箭迫擊範圍: 火({0}) 冰 ({1}) 雷({2})
elftransformuse.1	目前無法變身.
elftransformuse.2	今天無法再使用.
elftransformuse.3	{0}已發動
elftransformuse.4	{0}已發動
elftransformuse.5	獸化不包括在免費遊戲中.
emergencyescapeuse.1	解除變身才可逃脫危險
emergencyescapeuse.2	現在 {0}{} 無法使用.
enchant2use.1	雖然在魔力賦予失敗了但因為有魔力賦予保護藥水的效果而不會減少耐久度.
enchant2use.2	雖然在魔力賦予失敗了但因為有魔力賦予保護藥水的效果而不會減少耐久度.
enchant2use.3	在6等級以上的魔力賦予失敗時,對象道具消失\n蘊藏在武器上的精靈也一起消失.\n要進行魔力賦予嗎?
enchantuse.1	使用期限已到.
ensembleplayuse.1	音樂知識和演奏技能的等級達到C才能進行合奏.
ensembleplayuse.2	只有進入合奏隊伍,才能進行合奏.
ensembleplayuse.3	樂器已經損壞,無法進行合奏.
ensembleplayuse.4	使用期已過的樂器無法進行合奏.
ensembleplayuse.5	用魔法樂譜是無法進行合奏.
ensembleplayuse.6	需要手持樂器.
ensembleplayuse.7	必須要參加合奏隊伍或召喚可合奏的夥伴才可進行合奏.
ensemblesinguse.1	歌唱必須要為A等級, 音樂知識要為C等級以上才能合唱
fakedeathuse.1	在無法行動的狀態下,不能使用.
fakedeathuse.2	現在不能使用.
fakedeathuse.3	現在 {0}{} 無法使用.
fertilizinguse.1	沒有擁有田地而無法使用.
fertilizinguse.2	在田地裡灑下種子才可以進行作業.
fertilizinguse.3	在其他作業中而無法開始作業.
fertilizinguse.4	今天已經無法再進行作業了.
fertilizinguse.5	無法進行作業.
fertilizinguse.6	可以在自己所有的農地上使用.
fertilizinguse.7	田地裡給予肥料.
finalshotuse.1	必須裝置遠距離武器和投射物.
finalshotuse.2	技能終了前10秒.
finalshotuse.3	必須裝置遠距離武器和投射物.
finalshotuse.4	必須裝置遠距離武器和投射物.
finalshotuse.5	有障礙物,無法移動.
finalshotuse.6	在終極射擊的瞬間無法連續使用移動.
finalshotuse.7	時間不足,無法瞬移到那個位置.
finalshotuse.8	耐力不足,無法進行瞬前移動.
finalshotuse.9	技能終了前10秒.
finalstrikeuse.1	終焉斬擊技能的使用時間剩下10秒.
finalstrikeuse.2	武器的耐久度為 0因此似乎無法使用終焉斬擊.
finalstrikeuse.3	若想要使用終焉斬擊,需要近距離戰鬥才能武器.
fireballuse.1	充分使用火焰後\n必須讓武器上累積火焰屬性才行.
fireballuse.2	集魔杖的耐久度變為 0而無法使用火球.
fireballuse.3	需要魔杖或火焰魔杖.
fireshielduse.1	現在寵物無法使用道具. {0}秒後請再次嘗試.
firstaiduse.1	無法使用繃帶.
firstaiduse.2	對戰中的角色無法使用包紮.
firstaiduse.3	寵物身上必須有繃帶
firstaiduse.4	戰鬥中無法使用.
fishinguse.1	無法使用已過期的釣竿進行釣魚.
fishinguse.2	無法使用釣魚椅子的地點.
fishinguse.3	無法使用釣魚椅子的地點.
fishinguse.4	請先整理臨時物品欄中的物品.
flamealchemyuse.1	需要鋼瓶.
flamealchemyuse.2	火的結晶不足,無法使用技能.
flamealchemyuse.3	火的結晶不足,無法攻擊敵人.
flownhotairballoonuse.1	在此地方無法使用熱氣球.
flownhotairballoonuse.2	現在無法使用熱氣球.
flownhotairballoonuse.3	使用熱氣球失敗.
flownskylanternuse.1	在此無法施放天燈.
flownskylanternuse.2	目前無法施放天燈.
formchangeuse.1	戰鬥中無法使用.\n請{0}秒後再次嘗試.
freehands.1	雙手要空的才可
freestylejamuse.1	在這裡無法舉辦即興演奏.
freestylejamuse.2	即興演奏主辦者必須要套用樂器或麥克風才行.
freestylejamuse.3	目前為樂譜錯誤, 或無法開始演奏的狀態.
freestylejamuse.4	在集中觀賞模式中無法使用即興演奏.
fynnsbeadsshininguse.1	芬恩之鈴道具的耐久度為0,所以無法使用.
fynnsbeadsshininguse.2	為了使用芬恩寶珠閃耀,右手需要有芬恩之鈴.
fynnsbeadsshininguse.3	{0}的閃耀成功了!
fynnsbeadsshininguse.4	閃耀失敗了...\n{0}被破壞了...
fynnscraftuse.1	芬恩之鈴道具的耐久度為0,所以無法使用.
fynnscraftuse.2	為了使用芬恩的手工藝,右手需要有芬恩之鈴.
fynnscraftuse.3	{0} 製作大成功!!!
fynnsynchuse.1	芬恩之鈴道具的耐久度為0,所以無法使用.
fynnsynchuse.2	為了使用芬恩同步,右手需要有芬恩之鈴.
fynnsynchuse.3	沒有召喚的寵物,故無法進行芬恩同步.
fynnsynchuse.4	菲尼寵物無法進行芬恩同步..
fynnsynchuse.5	目前召喚的寵物,無法進行芬恩同步.
fynnsynchuse.6	目前召喚的寵物,無法進行芬恩同步.
fynnsynchuse.7	戰鬥中或是在戰鬥地區,無法進行芬恩同步.
fynnsynchuse.8	戰鬥中或是在戰鬥地區,無法進行芬恩同步.
fynnsynchuse.9	因玩家無法行動,無法進行芬恩同步.
fynnsynchuse.10	因寵物無法行動,無法進行芬恩同步.
fynnsynchuse.11	只有累積等級達50以上的寵物,才能進行芬恩同步.
fynnsynchuse.12	沒有物品欄的寵物無法成為芬恩寵物.
fynnsynchuse.13	{0} 等級
fynnsynchuse.14	{0}小時 {1}分
fynnsynchuse.15	{0}{}以芬恩寵物成長.\n
fynnsynchuse.16	{0}的菲尼變得更強了.\n
fynnsynchuse.17	{0}的菲尼變得更強了.\n(由於芬恩同步大成功,芬恩寵物精通和屬性技能的修練經驗值5倍獲得)\n
fynnsynchuse.18	{0}的菲尼變得更強了.
fynnsynchuse.19	\n(大成功{0}次,成功{1}次)\n
fynnsynchuse.20	\n累積等級 : {0}增加
fynnsynchuse.21	\nPP : {0}增加
fynnsynchuse.22	\n召喚時間 : {0}增加
fynnsynchuse.23	\n背包 : {0}個新增
fynnsynchuse.24	({0}個更換)
fynnsynchuse.25	\n獲得特技
fynnsynchuse.26	\n芬恩寵物精通 : {0}
fynnsynchuse.27	\n屬性 : {0}
fynnsynchuse.28	\n芬恩寶珠欄位 : {0}個新增
fynnsynchuse.29	\n朋友召喚欄位 : {0}個新增
fynnsynchuse.30	{0}{}以芬恩寵物成長.
fynnsynchuse.31	對夥伴無法進行芬恩同步.
fynnsynchuse.32	{0}等級({1})
fynnsynchuse.33	{0} {1}等級({2})
fynnsynchuse.34	\n(由於芬恩同步大成功,芬恩寵物精通和屬性技能的修練經驗值5倍獲得)
fynnybloominguse.1	芬恩之鈴道具的耐久度為0,所以無法使用.
fynnybloominguse.2	為了使用菲尼綻放, 右手需要有芬恩之鈴.
fynnybloominguse.3	可選擇綻放籠子使用菲尼綻放技能.\n綻放籠子可設置在浪漫農場.
fynnybloominguse.4	{0} 菲尼寵物的綻放完成!
gachaponsynthesisuse.1	합성을 할 수 없는 아이템입니다.
gachaponsynthesisuse.2	합성 재료를 다시 확인 해 주세요.
gachaponsynthesisuse.3	{0} 님께서 아이바의 합성 키트를 사용하여 {1} 아이템을 획득하였습니다.
gachaponsynthesisuse.4	아이바의 합성 키트를 사용한 합성에 성공하여 {0}{을} 얻었습니다.
gachaponsynthesisuse.5	아이바의 합성 키트를 사용한 합성에 실패했습니다.
gardeninguse.1	不是庭園樹.
gardeninguse.2	無法直接整修. 請詢問庭園師爾菲.
gardeninguse.3	其它玩家使用中.
gardeninguse.4	無法直接整修. 請詢問庭園師爾菲.
gardeninguse.5	超過限制時間.
giantfullswing.1	輸入的值超過了最大冷卻(charging)時間,採用的冷卻時間為0.最大冷卻時間 : {0}
giantfullswing.2	巨人暴烈猛擊冷卻時間: {0}
giantfullswing.3	傷害值: {0}%
giantfullswinguse.1	好像要裝備可以進行近距離攻擊的武器.
giantfullswinguse.2	因耐久度為0,所以不能使用暴烈猛擊.
giantfullswinguse.3	好像要裝備可以進行近距離攻擊的武器.
giantfullswinguse.4	因耐久度為0,所以不能使用暴烈猛擊.
giantfullswinguse.5	好像沒有使用巨人暴烈猛擊的對象.
giantfullswinguse.6	好像沒有使用巨人暴烈猛擊的對象.
giantfullswinguse.7	技能使用時間已過,已被取消.
giantthrowattackuse.1	裝備可投擲武器的比較好.
giantthrowattackuse.2	無法繼續使用此擲矛器.
giantthrowattackuse.3	裝備擲矛器的比較好.
giantthrowattackuse.4	使用期限已過,不能繼續使用擲矛器.
giantthrowattackuse.5	目前無法使用技能.請過{0}秒後再試.
gianttransformuse.1	目前的狀態下,無法變身.
gianttransformuse.2	今天無法再使用.
gianttransformuse.3	巨人獸化特殊技能已啟動.
gianttransformuse.4	獸化不包括在免費遊戲中.
glovethrowingsnowuse.1	손이 시려 눈을 던질 수 없을 것 같다.
goldentimeuse.1	已強化的狀態
goldentimeuse.2	已強化的狀態
goldentimeuse.3	跟鋼瓶和盾牌鋼瓶一起套用才可
goldstrikeuse.1	到技能再次使用時間還剩餘{0}秒.
goldstrikeuse.2	丟出的金幣不足.
groupmotion.1	所有成員都必須要套用上團體動作裝備.
groupmotion.2	所有成員都必須要套用上相同團體動作的裝備.
groupmotion.3	獲得團體動作
groupmotionuse.1	想要使用團體動作的話，就不能裝備上任何裝備才行.
groupmotionuse.2	想要使用團體動作的話，就不能裝備上其他裝備才行.
groupmotionuse.3	展開翅膀動作進行期間無法使用.
gunfrenzyuse.1	耐力值不足無法使用技能.
gunfrenzyuse.2	現在無法使用技能. {0}秒後請再試一次.
gunreloaduse.1	現在無法使用.
gunreloaduse.2	魔力子彈過盛無法使用.
gunreloaduse.3	魔力子彈不足無法使用.
gunreloaduse.4	魔力子彈不足無法使用.
hammergameuse.1	不是榔頭遊樂設施.
hammergameuse.2	不是可以參加遊戲的玩家.
handicraftuse.1	已過期.
handicraftuse.2	聖誕節活動期間只能會做.
handicraftuse.3	{0} 專用生產品.
healing2use.1	對戰中的角色無法使用治癒.
healing2use.2	戰鬥中無法使用.
healing2use.3	因為耐力不足因此無法對自己使用治癒技能.
helperapi.1	道具錯誤.
helperapi.2	需要鋼瓶.
helperapi.3	現在無法使用{0}. {1}分後請再試試看.
helperapi.4	現在無法使用{0}. {1}秒後請再試試看.
helperapi.5	現在無法使用{0}. {1}分{2}秒後請再試試看.
helperapi.6	現在 {0}無法使用. 請在{1}分鐘後使用.
helperapi.7	現在 {0}無法使用. 請在{1}秒後使用.
helperapi.8	現在  {0}無法使用. 請在 {1}分 {2}秒後使用.
helperapi.9	需要設置高塔 鋼瓶才能使用.
helperapi.10	需要鋼瓶或高塔鋼瓶.
helperapi.11	冰
helperapi.12	火
helperapi.13	雷
helperapi.14	集魔杖的 {0} 屬性會被強化為 {1}階段.
helperapi.15	為拳套裝備的話就可以使用.
helperapi.16	需裝上人偶手把,才可以使用技能.
helperapi.17	需裝上人偶手把,才可以使用技能.
helperapi.18	需著裝雙槍才會使用.
helperapi.19	魔力子彈不足.
helperapi.20	結晶不足.
helperapi.21	結晶不足.
helperapi.22	該樂器無法在此進行使用的樣子.
helperapi.23	需要裝備上樂器或麥克風才能使用
helperapi.24	需要樂器
helperapi.25	需要麥克風
helperapi.26	樂器損壞了
helperapi.27	麥克風損壞了
helperapi.28	樂器的使用期限已經過了
helperapi.29	麥克風的使用期限已經過了
helperapi.30	現在無法發揮出幻想的合唱效果
helperapi.31	現在無法發揮出幻想的合唱效果
helperapi.32	需要裝上手裏劍
helperapi.33	需裝備鎖鍊鐮刃.
helperapi.34	此武器無法再繼續使用.
helperapi.35	使用期限過期的武器無法再使用.
helperapi.36	儲存的結晶所剩不多了.
heulwenengineeringuse.1	生產技能物.
heulwenengineeringuse.2	{0} 是專用生產物.
heulwenengineeringuse.3	所需距離和目標太遠.
heulwenengineeringuse.4	要一次做出像這樣的生產品但魔法不足.
iceshielduse.1	現在寵物無法使用道具. {0}秒後請再次嘗試.
icespearuse.1	需要裝備冰矛魔杖.
icespearuse.2	無法對選擇的對象使用.
icespearuse.3	充分使用冰矛後\n必須讓武器上充分累積冰矛屬性才行.
icespearuse.4	集魔杖的耐久度變為 0而無法使用冰刃.
icespearuse.5	需要魔杖或冰矛魔杖.
imprintfragarachuse.1	無法使用刻印 : 弗拉加拉赫的狀態.
infectionuse.1	因達雷克不明的力量,導致身體不聽使喚.
infiniteslashuse.1	無法向船外區域移動.
insectcontroluse.1	沒有擁有此田地而無法使用.
insectcontroluse.2	在田地裡灑下種子才可以進行作業.
insectcontroluse.3	在其他作業中而無法開始作業.
insectcontroluse.4	今天已經無法再進行作業了.
insectcontroluse.5	無法進行作業.
insectcontroluse.6	可以在自己的田裡使用.
insectcontroluse.7	在田地裡抓害蟲.
